adType,salaryMin,salaryMax,salaryPeriod,LocationCategory
0,5989784.875891983,8529533.361410381,0,0
0,5989784.875891983,8529533.361410381,0,1
0,5989784.875891983,8529533.361410381,0,1
1,5500000.0,7700000.0,0,1
0,5989784.875891983,8529533.361410381,0,1
1,6500000.0,10000000.0,0,1
0,3000000.0,6000000.0,0,1
0,5989784.875891983,8529533.361410381,0,1
0,5989784.875891983,8529533.361410381,0,1
0,5989784.875891983,8529533.361410381,0,0
1,5989784.875891983,8529533.361410381,0,0
0,5989784.875891983,8529533.361410381,0,0
0,5989784.875891983,8529533.361410381,0,0
0,3200000.0,3500000.0,0,1
0,5989784.875891983,8529533.361410381,0,0
0,5989784.875891983,8529533.361410381,0,0
0,5989784.875891983,8529533.361410381,0,0
0,5989784.875891983,8529533.361410381,0,0
0,5989784.875891983,8529533.361410381,0,1
0,5989784.875891983,8529533.361410381,0,1
1,5000000.0,6000000.0,0,1
0,5989784.875891983,8529533.361410381,0,1
1,3200000.0,4480000.0,0,0
0,5989784.875891983,8529533.361410381,0,1
0,5989784.875891983,8529533.361410381,0,0
0,12000000.0,16800000.0,0,0
0,15000000.0,21000000.0,0,0
1,5989784.875891983,8529533.361410381,0,0
1,5989784.875891983,8529533.361410381,0,0
1,5989784.875891983,8529533.361410381,0,0
0,7000000.0,9800000.0,0,0
0,5989784.875891983,8529533.361410381,0,1
0,10000000.0,14000000.0,0,0
0,5989784.875891983,8529533.361410381,0,0
0,5989784.875891983,8529533.361410381,0,0
0,5989784.875891983,8529533.361410381,0,0
0,5989784.875891983,8529533.361410381,0,0
0,6000000.0,8000000.0,0,0
0,5989784.875891983,8529533.361410381,0,0
0,5989784.875891983,8529533.361410381,0,1
0,5989784.875891983,8529533.361410381,0,1
0,5989784.875891983,8529533.361410381,0,0
0,5000000.0,6500000.0,0,0
0,5989784.875891983,8529533.361410381,0,1
2,5989784.875891983,8529533.361410381,0,1
0,5989784.875891983,8529533.361410381,0,1
2,5989784.875891983,8529533.361410381,0,0
2,5989784.875891983,8529533.361410381,0,1
0,5500000.0,7700000.0,0,1
0,5989784.875891983,8529533.361410381,0,0
2,5989784.875891983,8529533.361410381,0,0
2,5989784.875891983,8529533.361410381,0,0
2,5989784.875891983,8529533.361410381,0,0
2,5989784.875891983,8529533.361410381,0,1
2,5989784.875891983,8529533.361410381,0,0
2,5989784.875891983,8529533.361410381,0,0
2,5989784.875891983,8529533.361410381,0,0
2,5989784.875891983,8529533.361410381,0,0
2,5989784.875891983,8529533.361410381,0,0
2,5989784.875891983,8529533.361410381,0,1
